id;nombre;departamento_id;dane_id
1114;MORICHAL;14;94888000
1115;LA PEDRERA;1;91407000
156;CAMPOALEGRE;17;41132000
141;CAJAMARCA;28;73124000
142;CAJIBÍO;10;19130000
143;CAJICÁ;13;25126000
229;COLOMBIA;17;41206000
148;CALDAS;6;15131000
149;CALDONO;10;19137000
152;CALIMA;29;76126000
153;CALOTO;10;19142000
170;CARMEN DE APICALÁ;28;73148000
178;CASABIANCA;28;73152000
157;CAMPOHERMOSO;6;15135000
227;COELLO;28;73200000
257;COYAIMA;28;73217000
161;CANTAGALLO;5;13160000
195;CHIVOLO;18;47170000
163;CAPARRAPÍ;13;25148000
164;CAPITANEJO;26;68147000
240;CONSACÁ;20;52207000
218;CIÉNAGA;18;47189000
168;CARCASÍ;26;68152000
237;CONCORDIA;18;47205000
146;CALARCÁ;23;63130000
241;CONTADERO;20;52210000
264;SAN JOSÉ DE CÚCUTA;21;54001000
175;CARTAGENA DEL CHAIRÁ;8;18150000
176;CARTAGO;29;76147000
269;CUMBAL;20;52227000
151;CALIFORNIA;26;68132000
183;CERINZA;6;15162000
184;CERRITO;26;68162000
187;CHACHAGÜÍ;20;52240000
197;CHIMA;26;68176000
191;CHAPARRAL;28;73168000
192;CHARALÁ;26;68167000
193;CHARTA;26;68169000
194;CHÍA;13;25175000
205;CHIPATÁ;26;68179000
239;CONFINES;26;68209000
199;CHIMICHAGUA;11;20175000
201;CHINAVITA;6;15172000
202;CHINCHINÁ;7;17174000
179;CASTILLA LA NUEVA;19;50150000
204;CHIPAQUE;13;25178000
206;CHIQUINQUIRÁ;6;15176000
207;CHÍQUIZA;6;15232000
208;CHIRIGUANÁ;11;20178000
209;CHISCAS;6;15180000
210;CHITA;6;15183000
212;CHITARAQUE;6;15185000
213;CHIVATÁ;6;15187000
214;CHIVOR;6;15236000
215;CHOACHÍ;13;25181000
216;CHOCONTÁ;13;25183000
217;CICUCO;5;13188000
261;CUBARRAL;19;50223000
220;CIÉNEGA;6;15189000
221;CIMITARRA;26;68190000
267;CUMARAL;19;50226000
140;CAIMITO;27;70124000
225;CLEMENCIA;5;13222000
189;CHALÁN;27;70230000
228;COGUA;13;25200000
233;CÓMBITA;6;15204000
136;CÁCHIRA;21;54128000
251;COROZAL;27;70215000
256;COVEÑAS;27;70221000
242;CONTRATACIÓN;26;68211000
139;CAICEDONIA;29;76122000
245;COPER;6;15212000
249;CORINTO;10;19212000
250;COROMORO;26;68217000
252;CORRALES;6;15215000
253;COTA;13;25214000
137;CÁCOTA;21;54125000
255;COVARACHÍA;6;15218000
258;CRAVO NORTE;3;81220000
260;CUBARÁ;6;15223000
262;CUCAITA;6;15224000
266;CUÍTIVA;6;15226000
200;CHINÁCOTA;21;54172000
268;CUMARIBO;30;99773000
190;CHÁMEZA;9;85015000
243;CONVENCIÓN;21;54206000
172;CARMEN DEL DARIÉN;31;27150000
158;CANALETE;12;23090000
182;CERETÉ;12;23162000
198;CHIMÁ;12;23168000
265;CUCUTILLA;21;54223000
211;CHITAGÁ;21;54174000
222;CIRCASIA;23;63190000
230;COLÓN;22;86219000
159;CANDELARIA;29;76130000
181;CEPITÁ;26;68160000
234;CONCEPCIÓN;26;68207000
144;CALAMAR;16;95015000
231;COLÓN;20;52203000
246;CÓRDOBA;20;52215000
232;COLOSÓ;27;70204000
171;CARMEN DE CARUPA;13;25154000
188;CHAGUANÍ;13;25168000
263;CUCUNUBÁ;13;25224000
165;CÁQUEZA;13;25151000
138;CAICEDO;2;05125000
147;CALDAS;2;05129000
154;CAMPAMENTO;2;05134000
155;CAMPO DE LA CRUZ;4;08137000
145;CALAMAR;5;13140000
248;CÓRDOBA;5;13212000
247;CÓRDOBA;23;63212000
177;CARURÚ;32;97161000
150;CALI;29;76001000
185;CERRO DE SAN ANTONIO;18;47161000
259;CUASPUD CARLOSAMA;20;52224000
1116;PANA PANA;14;94887000
1117;MIRITÍ - PARANÁ;1;91460000
1118;TARAPACÁ;1;91798000
1119;YAVARATÉ;32;97889000
1120;LA VICTORIA;1;91430000
1121;CACAHUAL;14;94886000
272;CURILLO;8;18205000
273;CURITÍ;26;68229000
274;CURUMANÍ;11;20228000
329;ELÍAS;17;41244000
276;DAGUA;29;76233000
375;GIGANTE;17;41306000
282;DUITAMA;6;15238000
394;GUADALUPE;17;41319000
271;CUNDAY;28;73226000
279;DOLORES;28;73236000
336;FALAN;28;73270000
293;EL CARMEN DE BOLÍVAR;5;13244000
353;FRESNO;28;73283000
297;EL CERRITO;29;76248000
299;EL COCUY;6;15244000
300;EL COLEGIO;13;25245000
301;EL COPEY;11;20238000
